Name,Location,Review_Score,Review_Feedback,Review_Count
Hotel 101 - Manila,"Pasay, Manila",8.8,Excellent,8237
Sofitel Philippine Plaza Manila,"Pasay, Manila",7.9,Good,3168
The Mini Suites Eton Tower Makati,"Makati, Manila",7,Good,3049
Golden Phoenix Hotel - Manila,"Pasay, Manila",7.5,Good,2560
Savoy Hotel Manila,"Pasay, Manila",8.2,Very Good,1792
Belmont Hotel Manila,"Pasay, Manila",8.1,Very Good,1989
Dusit Thani Manila,"Makati, Manila",8.1,Very Good,1970
The Heritage Hotel Manila,"Pasay, Manila",7.9,Good,1682
Hop Inn Hotel Aseana City Manila,"Paranaque, Manila",8.2,Very Good,1757
"Holiday Inn Express Manila Newport City, an IHG Hotel","Pasay, Manila",7.6,Good,2022
Fox & The Firefly Cottages,Loboc,8.9,Excellent,554
Thunderbird Resorts - Poro Point,San Fernando,7.6,Good,111
Go Hotels Butuan,Butuan,7.8,Good,393
The Farm at San Benito,Lipa,8.9,Excellent,234
Royal Garden Hotel,Ozamis,7.7,Good,80
Annex Hotel Tavern,Surigao,7.4,Good,178
Go Hotels Plus Tuguegarao,Tuguegarao City,8.4,Very Good,235
Marcian Garden Hotel,Zamboanga,7.8,Good,118
Chema's by the Sea,Samal,7.7,Good,46
Injap Tower Hotel,Iloilo City,7.9,Good,1106
Hotel101 - Fort,Taguig,8.8,Excellent,26
Timberland Highlands Resort,San Mateo,9,Wonderful,388
AL FARO Cosmio Hotel Palawan,Busuanga,9.4,Wonderful,139
Summit Hotel Naga,Naga,8.3,Very Good,190
Microtel by Wyndham South Forbes,Santa Rosa,8.2,Very Good,70
Go Hotels Iligan,Iligan,7.9,Good,232
Isteraha Haven Inn,Zamboanga,8.1,Very Good,114
Granada Beach Resort - Adults Only,Boljoon,9,Wonderful,217
Park Inn By Radisson Iloilo,Iloilo City,8.5,Very Good,1133
The Mini Suites Eton Tower Makati,"Makati, Manila",7,Good,3047
Two Seasons Coron Island Resort,Bulalacao,9,Wonderful,65
Pico Sands Hotel,Nasugbu,8.4,Very Good,304
Go Hotels Plus Naga,Naga,8.3,Very Good,208
Robertson Hotel,Naga,8.4,Very Good,241
Rosey Hotel,Cabanatuan,7.7,Good,110
