Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
Hotel 101 - Manila,Pasay,8.8,Excellent,8237,Hotel,Hotel
Sofitel Philippine Plaza Manila,Pasay,7.9,Good,3168,Hotel,Hotel
Golden Phoenix Hotel - Manila,Pasay,7.5,Good,2560,Hotel,Hotel
Savoy Hotel Manila,Pasay,8.2,Very Good,1792,Hotel,Hotel
Belmont Hotel Manila,Pasay,8.1,Very Good,1989,Hotel,Hotel
The Heritage Hotel Manila,Pasay,7.9,Good,1682,Hotel,Hotel
"Holiday Inn Express Manila Newport City, an IHG Hotel",Pasay,7.6,Good,2022,Hotel,Hotel
Le Bar,Pasay,4.5,Making celebrations more special,290,Restaurant,Restaurant
Tim Ho Wan,Pasay,4.0,a fantastic spot to savor some dumplings,319,Restaurant,Restaurant
The Mini Suites Eton Tower Makati,Makati,7.0,Good,3049,Hotel,Hotel
Dusit Thani Manila,Makati,8.1,Very Good,1970,Hotel,Hotel
The Mini Suites Eton Tower Makati,Makati,7.0,Good,3047,Hotel,Hotel
The Aristocrat Restaurant,Makati,4.0,"Good food, waiting time",1261,Restaurant,Restaurant
Simply Thai,Makati,4.0,Great Thai food in the Philippines!!!,203,Restaurant,Restaurant
Ippudo,Makati,4.0,"But for me, I fell for their torched salmon!",72,Restaurant,Restaurant
Hop Inn Hotel Aseana City Manila,Paranaque,8.2,Very Good,1757,Hotel,Hotel
The Lounge,Paranaque,4.5,"We had a salad, pizza, bolognese pasta and a couple drinks.",90,Restaurant,Restaurant
Fox & The Firefly Cottages,Loboc,8.9,Excellent,554,Hotel,Hotel
Thunderbird Resorts - Poro Point,San Fernando,7.6,Good,111,Hotel,Hotel
Go Hotels Butuan,Butuan,7.8,Good,393,Hotel,Hotel
The Farm at San Benito,Lipa,8.9,Excellent,234,Hotel,Hotel
Royal Garden Hotel,Ozamis,7.7,Good,80,Hotel,Hotel
Annex Hotel Tavern,Surigao,7.4,Good,178,Hotel,Hotel
Go Hotels Plus Tuguegarao,Tuguegarao City,8.4,Very Good,235,Hotel,Hotel
Marcian Garden Hotel,Zamboanga,7.8,Good,118,Hotel,Hotel
Isteraha Haven Inn,Zamboanga,8.1,Very Good,114,Hotel,Hotel
Chema's by the Sea,Samal,7.7,Good,46,Hotel,Hotel
Injap Tower Hotel,Iloilo City,7.9,Good,1106,Hotel,Hotel
Park Inn By Radisson Iloilo,Iloilo City,8.5,Very Good,1133,Hotel,Hotel
Hotel101 - Fort,Taguig,8.8,Excellent,26,Hotel,Hotel
Timberland Highlands Resort,San Mateo,9.0,Wonderful,388,Hotel,Hotel
AL FARO Cosmio Hotel Palawan,Busuanga,9.4,Wonderful,139,Hotel,Hotel
Pico Sands Hotel,Nasugbu,8.4,Very Good,304,Hotel,Hotel
Rosey Hotel,Cabanatuan,7.7,Good,110,Hotel,Hotel
Cafe Ilang-Ilang,Manila,4.5,"... fruit and salad, Korean, Chinese, e...",582,Restaurant,Restaurant
Eng Bee Tin,Manila,4.5,Culinary delight in Chinatown,238,Restaurant,Restaurant
Sky Deck at The Bayleaf Hotel,Manila,4.0,Very slow service,611,Restaurant,Restaurant
Harbor View Restaurant,Manila,4.0,"I did order a Salmon Pasta, but also ta...",584,Restaurant,Restaurant
Market Cafe,Manila,4.5,Friday night seafood buffet,196,Restaurant,Restaurant
Ilustrado,Manila,4.0,Pairing them with the fresh and flavorful vegetable salad creates a perfect b...,319,Restaurant,Restaurant
Barbara's Heritage Restaurant,Manila,4.0,Special thanks to Ms. Luiza who was an exceptional host.,496,Restaurant,Restaurant
Bistro Remedios,Manila,4.5,FILIPINO CUISINE,140,Restaurant,Restaurant
Li Li,Manila,4.5,Very good,118,Restaurant,Restaurant
Cafe Adriatico,Manila,4.0,A Manila dining institution that delivers...,302,Restaurant,Restaurant
Ristorante Delle Mitre,Manila,4.0,"... calamansi cheesecake, chicken adobo...",220,Restaurant,Restaurant
Cafe De Chinatown,Manila,4.5,Great food,33,Restaurant,Restaurant
Uno Wharf Seafood Palace,Manila,4.5,Food was excellent! Service,88,Restaurant,Restaurant
COWBOY GRILL,Manila,4.0,A nightspot with live entertainment,190,Restaurant,Restaurant
9 Spoons,Manila,4.0,A Good Second Choice,124,Restaurant,Restaurant
Tanabe Japanese Restaurant,Manila,4.0,My favorite food,108,Restaurant,Restaurant
Arya Persian Restaurant,Manila,4.0,Good Iranian restaurant,63,Restaurant,Restaurant
Raffaele Woodfired Pizza,Manila,4.5,I am glad I did as the 'Butchers Choice' Pizza I had was delicious and the am...,63,Restaurant,Restaurant
Casa Armas - Malate,Manila,4.0,"Great food, great !!!",133,Restaurant,Restaurant
Ying Ying Teahouse,Manila,4.0,Authentic Chinese Food in Manila Chinatown,92,Restaurant,Restaurant
Yurakuen Japanese Restaurant,Manila,4.5,One of the most authentic Japanese...,74,Restaurant,Restaurant
Ramon Lee's Panciteria,Manila,4.5,... been serving Filipino-Chinese stapl...,49,Restaurant,Restaurant
Intramuros,Manila,4.0,No Feedback,3596,Tourist Site,Neighborhoods & Historic Walking Areas
Fort Santiago,Manila,4.0,No Feedback,2106,Tourist Site,Historic Sites & Parks
Greenbelt Mall,Manila,4.5,No Feedback,1706,Tourist Site,Shopping Malls
San Agustin Church,Manila,4.5,No Feedback,1579,Tourist Site,Religious Sites
Rizal Park,Manila,4.0,No Feedback,2085,Tourist Site,Parks
Manila Ocean Park,Manila,3.5,No Feedback,2236,Tourist Site,Aquariums
Gloria Maris,San Juan,4.0,Never lost its pizazz! Still one of the...,58,Restaurant,Restaurant
Microtel by Wyndham South Forbes,Sta Rosa,8.2,Very Good,70,Hotel,Hotel
Recipes,Sta Rosa,4.0,Return visit,97,Restaurant,Restaurant
White Beach,Boracay,4.5,No Feedback,6589,Tourist Site,Beaches
Yapak Beach (Puka Shell Beach),Boracay,4.5,No Feedback,2818,Tourist Site,Beaches
Ariel's Point,Boracay,4.5,No Feedback,1412,Tourist Site,Points of Interest & Landmarks
Chocolate Hills Natural Monument,Bohol,4.0,No Feedback,2794,Tourist Site,Geologic Formations
Banaue Rice Terraces,Banaue,4.5,No Feedback,977,Tourist Site,Points of Interest & Landmarks & Historic Walking Areas
Batad Rice Terraces,Banaue,5.0,No Feedback,697,Tourist Site,Historic Walking Areas
Granada Beach Resort - Adults Only,Cebu,9.0,Wonderful,217,Hotel,Hotel
Basilica del Santo Nino,Cebu,4.5,No Feedback,2168,Tourist Site,Speciality Museums & Religious Sites
Kawasan Falls,Cebu,4.0,No Feedback,1936,Tourist Site,Waterfalls
Ayala Center Cebu,Cebu,4.5,No Feedback,1824,Tourist Site,Shopping Malls
Casa Gorordo Museum,Cebu,4.5,No Feedback,548,Tourist Site,Speciality Museums
Tumalog Falls,Cebu,4.5,No Feedback,1110,Tourist Site,Waterfalls
Fort San Pedro,Cebu,4.0,No Feedback,1326,Tourist Site,Historic Sites
Mayon Volcano,Albay,4.5,No Feedback,835,Tourist Site,Volcanos
Cambugahay Falls,Siquijor,4.5,No Feedback,937,Tourist Site,Waterfalls
Taal Volcano,Batangas,4.0,No Feedback,1683,Tourist Site,Volcanos
Calle Crisologo,Vigan,4.5,No Feedback,1082,Tourist Site,Historic Walking Areas
