Location,Population,Language,Description
Pasay,440.656,Tagalog,"Pasay, officially the City of Pasay (Filipino: Lungsod ng Pasay; .mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}IPA: ['pasaɪ]), is a 1st class highly urbanized city in the National Capital Region of the Philippines. According to the 2020 census, it has a population of 440,656 people.[3]
"
Manila,1846.513,Tagalog,"Manila (/məˈnɪlə/ mə-NIL-ə, .mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}Spanish: [maˈnila]; Filipino: Maynila, pronounced [majˈnilaʔ]), officially the City of Manila (Filipino: Lungsod ng Maynila, [luŋˈsod nɐŋ majˈnilaʔ]), is the capital and second-most populous city of the Philippines. Located on the eastern shore of Manila Bay on the island of Luzon, it is classified as a highly urbanized city. As of 2019, it is the world's most densely populated city proper. It was the first chartered city in the country, and was designated as such by the Philippine Commission Act No. 183 on July 31, 1901. It became autonomous with the passage of Republic Act No. 409, ""The Revised Charter of the City of Manila"", on June 18, 1949.[10] Manila is considered to be part of the world's original set of global cities because its commercial networks were the first to extend across the Pacific Ocean and connect Asia with the Spanish Americas through the galleon trade; when this was accomplished, it was the first time an uninterrupted chain of trade routes circling the planet had been established.[11][12] Manila is among the most-populous and fastest-growing cities in Southeast Asia.[13]
"
Makati,629.616,Tagalog,"Makati (/məˈkɑːti/ mə-KAH-tee; .mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}Tagalog pronunciation: [maˈkati]), officially the City of Makati (Filipino: Lungsod ng Makati), is a 1st-class highly urbanized city in the National Capital Region of the Philippines.
"
Paranaque,689.992,Tagalog,"Parañaque, officially the City of Parañaque (Filipino: Lungsod ng Parañaque, .mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}Tagalog pronunciation: [paɾaˈɲäke̞]), is a first class highly urbanized city in the National Capital Region of the Philippines. According to the 2020 census, it has a population of 689,992 people.[3]
"
Loboc,17.418,Boholano dialect Cebuano Tagalog,"Located 25 kilometres (16 mi) east of Tagbilaran, Loboc is widely known for its lunch cruises along the scenic and winding Loboc River. The Loboc Children's Choir, who perform in different floating stations located at the river's end, has won numerous competitions both domestic and international. Tourists also visit to see the tarsier, a small, nocturnal, monkey-like mammal with large, red eyes. It is one of the world's smallest primates.
"
San Fernando,354.666,Kapampangan Tagalog,"San Fernando, officially the City of San Fernando (Kapampangan: Ciudad/Lakanbalen ning San Fernandu; Filipino: Lungsod ng San Fernando), is a 1st class component city and capital of the province of Pampanga, Philippines. According to the 2020 census, it has a population of 354,666 people.[3]
"
Butuan,372.91,"""}CebuanoButuanonAgusanHigaononMamanwaTagalog","Butuan (pronounced /ˌbuːtˈwɑːn/), officially the City of Butuan (Cebuano: Dakbayan sa Butuan; Butuanon: Dakbayan hong Butuan; Filipino: Lungsod ng Butuan), is a 1st class highly urbanized city in the region of Caraga, Philippines. It is the de facto capital of the province of Agusan del Norte where it is geographically situated but has an administratively independent government.[9] According to the 2020 census, it has a population of 372,910 people.[7]
"
Lipa,372.931,Tagalog,"Lipa ([lɪˈpa]), officially the City of Lipa (Filipino: Lungsod ng Lipa), is a 1st class component city in the province of Batangas, Philippines. According to the 2020 census, it has a population of 372,931 people.[3]
"
Ozamiz,140.334,Subanon Cebuano Tagalog,"Ozamiz, officially the City of Ozamiz (Cebuano: Dakbayan sa Ozamiz; Filipino: Lungsod ng Ozamiz), is a 3rd class component city in the province of Misamis Occidental, Philippines. According to the 2020 census, it has a population of 140,334 people.[4]
"
Surigao,171.107,Surigaonon Agusan Cebuano Tagalog,"Surigao City, officially the City of Surigao (Surigaonon: Siyudad nan Surigao; Cebuano: Dakbayan sa Surigao; Filipino: Lungsod ng Surigao), is a 1st class component city and capital of the province of Surigao del Norte, Philippines. According to the 2020 census, it has a population of 171,107 people.[3]
"
Tuguegarao City,166.334,Ibanag Ilocano Tagalog,"Tuguegarao (/tʊˈɡɛɡʌraʊ/ or /tʊɡɛɡəˈraʊ/), officially the City of Tuguegarao (Ibanag: Siyudad nat Tugegaraw; Itawit: Siyudad yo Tugegaraw; Ilocano: Siudad ti Tuguegarao; Filipino: Lungsod ng Tuguegarao [tʊgɛ̝gäˈɾaʊ]), is a component city capital of Cagayan, Philippines and Regional Center of Cagayan Valley, Philippines with a population of 166,334 people according to the 2020 census. It is the most urbanized area in Cagayan Valley and Northeastern Luzon.
"
Zamboanga,977.234,CebuanoHiligaynonSamaSubanenTagalogTausugYakanFilipinoEnglish,"Zamboanga City, officially the City of Zamboanga (Chavacano: Ciudad de Zamboanga, Tausug: Dāira sin Sambuangan, Filipino: Lungsod ng Zamboanga, Cebuano: Dakbayan sa Zamboanga), is a 1st class highly urbanized city in the Zamboanga Peninsula region of the Philippines. According to the 2020 census, it has a population of 977,234 people.[6] It is the fifth-most populous and third-largest city by land area in the Philippines and also the second most populous in Mindanao after Davao City.[7][8] It is the commercial and industrial center of the Zamboanga Peninsula Region.[9]
"
Samal,116.771,Davawenyo Cebuano Ata Manobo Kalagan Tagalog,"Samal, officially the Island Garden City of Samal (IGaCOS; Cebuano: Pulong Harding Dakbayan sa Samal; Filipino: Pulong Harding Lungsod ng Samal) is a 4th class component city in the province of Davao del Norte, Philippines. According to the 2020 census, it has a population of 116,771 people.[3][5]
"
Iloilo City,457.626,Hiligaynon/Ilonggo,"Iloilo City, officially the City of Iloilo (Hiligaynon: Siyudad/Dakbanwa sang Iloilo; Filipino: Lungsod ng Iloilo), is a 1st class highly urbanized city in the Western Visayas region of the Philippines, located on the southeastern coast of the island of Panay. It is the capital city of the province of Iloilo, where it is geographically situated and grouped under the Philippine Statistics Authority, but remains politically independent in terms of government and administration. In addition, it is the center of the Iloilo–Guimaras Metropolitan Area, as well as the regional center and primate city of the Western Visayas region. According to the 2020 census, Iloilo City has a population of 457,626 people.[6] For the metropolitan area, the total population is 1,007,945 people.[10]
"
Taguig,886.722,Filipino (Tagalog),"Taguig (.mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}Tagalog: [taˈɡiɡ]), officially the City of Taguig (Filipino: Lungsod ng Taguig), is a 1st class highly urbanized city in Metro Manila, Philippines. According to the 2020 census, it has a population of 886,722 people.[3] Located in the northwestern shores of Laguna de Bay, the city is known for Bonifacio Global City, one of the leading financial centers of the Philippines. Originally a fishing village during the Spanish and American colonial periods, it experienced rapid growth when former military reservations were converted by the Bases Conversion and Development Authority (BCDA) into mixed-use planned communities. Taguig became a highly urbanized city with the passage of Republic Act No. 8487 in 2004.
"
San Mateo,273.306,Tagalog,"San Mateo, officially the Municipality of San Mateo (Tagalog: Bayan ng San Mateo),  is a 1st class urban municipality in the province of Rizal, Philippines. According to the 2020 census, it has a population of 273,306.
"
Busuanga,25.617,Calamian Tagbanwa Kagayanen Palawano Tagalog,"Busuanga, officially the Municipality of Busuanga (Tagalog: Bayan ng Busuanga), is a 3rd class municipality in the province of Palawan, Philippines. According to the 2020 census, it has a population of 25,617 people.[3]
"
Naga,209.17,Central Bikol Inagta Partido Tagalog,"Naga, officially the City of Naga (Central Bikol: Siyudad nin Naga; Rinconada Bikol: Syudad ka Naga; Filipino: Lungsod ng Naga) or the Pilgrim City of Naga, is a 1st class independent component city in the Bicol Region of the Philippines. According to the 2020 census, it has a population of 209,170 people.[4]
"
Sta Rosa,414.812,Tagalog,"Santa Rosa, officially the City of Santa Rosa (Filipino: Lungsod ng Santa Rosa), is a 1st class component city in the province of Laguna, Philippines. According to the 2020 census, its population was 414,812 people.[3]
"
Iligan,363.115,Maranao Cebuano Binukid Tagalog,"Iligan, officially the City of Iligan (Cebuano: Dakbayan sa Iligan; Filipino: Lungsod ng Iligan; Maranao: Inged a Iligan), is a 1st class highly urbanized city in the region of Northern Mindanao, Philippines. According to the 2020 census, it has a population of 363,115 people.[3]
"
Bulalacao,44.366,Ratagnon Romblomanon Tagalog,"Bulalacao, officially the Municipality of Bulalacao (Tagalog: Bayan ng Bulalacao),  is a 3rd class municipality in the province of Oriental Mindoro, Philippines. According to the 2020 census, it has a population of 44,366 people.[3]
"
