Name,Location,Review_Score,Review_Feedback,Review_Count,Type,Category
Cafe Ilang-Ilang,Manila,4.5,"... fruit and salad, Korean, Chinese, e...",582,Restaurant,Restaurant
Eng Bee Tin,Manila,4.5,Culinary delight in Chinatown,238,Restaurant,Restaurant
Sky Deck at The Bayleaf Hotel,Manila,4.0,Very slow service,611,Restaurant,Restaurant
Harbor View Restaurant,Manila,4.0,"I did order a Salmon Pasta, but also ta...",584,Restaurant,Restaurant
Market Cafe,Manila,4.5,Friday night seafood buffet,196,Restaurant,Restaurant
Ilustrado,Manila,4.0,Pairing them with the fresh and flavorful vegetable salad creates a perfect b...,319,Restaurant,Restaurant
Barbara's Heritage Restaurant,Manila,4.0,Special thanks to Ms. Luiza who was an exceptional host.,496,Restaurant,Restaurant
Bistro Remedios,Manila,4.5,FILIPINO CUISINE,140,Restaurant,Restaurant
Li Li,Manila,4.5,Very good,118,Restaurant,Restaurant
Cafe Adriatico,Manila,4.0,A Manila dining institution that delivers...,302,Restaurant,Restaurant
Ristorante Delle Mitre,Manila,4.0,"... calamansi cheesecake, chicken adobo...",220,Restaurant,Restaurant
Cafe De Chinatown,Manila,4.5,Great food,33,Restaurant,Restaurant
Uno Wharf Seafood Palace,Manila,4.5,Food was excellent! Service,88,Restaurant,Restaurant
COWBOY GRILL,Manila,4.0,A nightspot with live entertainment,190,Restaurant,Restaurant
9 Spoons,Manila,4.0,A Good Second Choice,124,Restaurant,Restaurant
Tanabe Japanese Restaurant,Manila,4.0,My favorite food,108,Restaurant,Restaurant
Arya Persian Restaurant,Manila,4.0,Good Iranian restaurant,63,Restaurant,Restaurant
Raffaele Woodfired Pizza,Manila,4.5,I am glad I did as the 'Butchers Choice' Pizza I had was delicious and the am...,63,Restaurant,Restaurant
Casa Armas - Malate,Manila,4.0,"Great food, great !!!",133,Restaurant,Restaurant
Ying Ying Teahouse,Manila,4.0,Authentic Chinese Food in Manila Chinatown,92,Restaurant,Restaurant
Yurakuen Japanese Restaurant,Manila,4.5,One of the most authentic Japanese...,74,Restaurant,Restaurant
Ramon Lee's Panciteria,Manila,4.5,... been serving Filipino-Chinese stapl...,49,Restaurant,Restaurant
Intramuros,Manila,4.0,No Feedback,3596,Tourist Site,Neighborhoods & Historic Walking Areas
Fort Santiago,Manila,4.0,No Feedback,2106,Tourist Site,Historic Sites & Parks
Greenbelt Mall,Manila,4.5,No Feedback,1706,Tourist Site,Shopping Malls
San Agustin Church,Manila,4.5,No Feedback,1579,Tourist Site,Religious Sites
Rizal Park,Manila,4.0,No Feedback,2085,Tourist Site,Parks
Manila Ocean Park,Manila,3.5,No Feedback,2236,Tourist Site,Aquariums
